Lot URL,Lot Number,Est. Retail Value,Year,Make,Model,Expected Sale Date,Engine Type,State of Ownership Doc Type,Ownership Doc Type,Odometer Description,Cylinders,VIN,Grid/Row,Odometer Reading,Damage Description,Current Bid,My Bid,Item Number,Location,Sale Status,Repair Estimate
https://www.copart.com/lotDetail/24887537,24887537,$0,1986,SAAB,900,04/05/2017 09:00 AM CDT,2.0L  4,NY,CERTIFICATE OF TITLE,EXEMPT,4,YS3AD35L1G2017054,L180,122889.0,MINOR DENT/SCRATCHES,$0,$0,0,NY - LONG ISLAND,On Approval,$0
https://www.copart.com/lotDetail/24916957,24916957,$0,1986,HONDA,NQ50,04/07/2017 02:00 PM CDT,.1L  1,CA,CERT OF TITLE OR SALVAGE ACQ,EXEMPT,1,JH2AF0605GS299646,MC002,3122.0,MINOR DENT/SCRATCHES,$15,$0,0,CA - VALLEJO,On Approval,$0
https://www.copart.com/lotDetail/25081796,25081796,"$2,750",1986,OTHR,DELUXE BAS,05/26/2017 12:00 PM CDT,,TX,CERT OF TITLE TO A BOAT,EXEMPT,,FLZM7590A186,F200,0.0,BURN,$0,$0,0,TX - HOUSTON,Minimum Bid,$0
https://www.copart.com/lotDetail/25110777,25110777,"$1,500",1986,BUICK,LESABRE CU,04/06/2017 09:00 AM CDT,3.8L  6,KY,CERTIFICATE OF TITLE,ACTUAL,6,1G4HP693XGH471000,II010,184172.0,MINOR DENT/SCRATCHES,$150,$0,82,KY - LOUISVILLE,On Approval,$0
https://www.copart.com/lotDetail/25154327,25154327,$0,1986,VOLVO,245 DL/GL,04/05/2017 02:00 PM CDT,2.3L  4,WA,VEHICLE CERT OF OWNERSHIP-TITL,EXEMPT,4,YV1AX8858G1666035,SJ005,270330.0,MECHANICAL,$0,$0,0,OR - PORTLAND NORTH,On Approval,$0
https://www.copart.com/lotDetail/25424557,25424557,$0,1986,MERCEDES-BENZ,190E 2.3,04/07/2017 02:00 PM CDT,2.3L  4,CA,APP FOR DUP CLEAN OR AC,ACTUAL,4,WDBDA24D0GF269130,SB002,126373.0,MECHANICAL,$0,$0,0,CA - SAN DIEGO,On Approval,$0
https://www.copart.com/lotDetail/25484717,25484717,$0,1986,CHEVROLET,S10,04/07/2017 02:00 PM CDT,2.8L  6,CA,CERT OF TITLE OR SALVAGE ACQ,EXEMPT,6,1GCCS14RXG8116968,REC3,223879.0,FRONT END,$0,$0,0,CA - VALLEJO,On Approval,$0
https://www.copart.com/lotDetail/25511147,25511147,$100,1986,NISSAN,STANZA,04/07/2017 02:00 PM CDT,2.0L  4,CA,CERT OF TITLE OR SALVAGE ACQ,ACTUAL,4,JN1HM05S3GX000497,,119429.0,NORMAL WEAR,$0,$0,0,CA - BAKERSFIELD,On Approval,$0
https://www.copart.com/lotDetail/25580357,25580357,$100,1986,PONTIAC,FIERO,04/06/2017 02:00 PM CDT,2.5L  4,CA,CERT OF TITLE OR SALVAGE ACQ,ACTUAL,4,1G2PE37R0GP266923,REC2,67997.0,MECHANICAL,$100,$0,0,CA - HAYWARD,On Approval,$0
https://www.copart.com/lotDetail/25673167,25673167,$0,1986,CHEVROLET,CAVALIER R,04/10/2017 02:00 PM CDT,2.0L  4,CA,CERT OF TITLE OR SALVAGE ACQ,EXEMPT,4,1G1JE67P6G7186942,C060,0.0,MECHANICAL,$0,$0,0,CA - SO SACRAMENTO,On Approval,$0
https://www.copart.com/lotDetail/29952706,29952706,"$4,200",1986,SUNB,MARINE LOT,04/04/2017 02:00 PM CDT,,CA,JUNK RECEIPT,EXEMPT,,SB295753J586,HVY30,0.0,VANDALISM,$0,$0,701,CA - SAN JOSE,Minimum Bid,$0
https://www.copart.com/lotDetail/33044135,33044135,$0,1986,KAWASAKI,ZX600,04/03/2017 08:00 PM CDT,.6L  4,CA,LIEN PAPERS-CLEAN OR AC,EXEMPT,4,JKAZX4A11GA036098,MC008,32661.0,SIDE,$125,$0,604,CA - MARTINEZ,On Approval,$0
https://www.copart.com/lotDetail/32649606,32649606,"$5,840",1986,SEAR,MARINE LOT,05/12/2017 12:00 PM CDT,,TX,CERT OF TITLE TO A BOAT,EXEMPT,,SERM4964J586,U300,0.0,WATER/FLOOD,$0,$0,0,TX - HOUSTON,On Approval,$0
https://www.copart.com/lotDetail/35199616,35199616,"$6,450",1986,FORD,F250,04/04/2017 02:00 PM CDT,6.9L  8,CA,CERT OF TITLE OR SALVAGE ACQ,EXEMPT,8,1FTHF2517GPA49437,1HV15,14210.0,FRONT END,$0,$0,829,CA - SACRAMENTO,Minimum Bid,$0
https://www.copart.com/lotDetail/35257735,35257735,"$6,363",1986,5TH,TRAILER,04/19/2017 12:00 PM CDT,,AL,BILL OF SALE,EXEMPT,,1K9F538D7GG010336,HV050,0.0,BURN,$0,$0,0,AL - TANNER,On Approval,$0
https://www.copart.com/lotDetail/36333276,36333276,"$4,179",1986,MERCEDES-BENZ,560SEL,04/04/2017 12:00 PM CDT,5.6L  8,TX,SALVAGE VEHICLE TITLE,EXEMPT,8,WDBCA39D8GA219535,SB009,82517.0,ALL OVER,$50,$0,1109,TX - AMARILLO,Minimum Bid,"$5,270"
https://www.copart.com/lotDetail/37085606,37085606,"$8,967",1986,FORD,E350,04/04/2017 02:00 PM CDT,7.5L  8,CA,NON-REPAIRABLE VEHICLE CERT,EXEMPT,8,1FDKE30L3GHB27046,1Z080,0.0,BURN,$0,$0,915,CA - SACRAMENTO,Minimum Bid,$0
